id;name;age;height;weight;nationality;club;rating;value_M;wage_K;preferred_foot;real_face;position;jersey_number;pace;shooting;passing;dribbling;defending;physic;heading;free_kick;ball_control;acceleration;speed;real_face_Yes;preferred_foot_Right
182493;D. Godín;33;187;78;Uruguay;Inter;88;28;135;Right;Yes;CB;2;60;48;64;61;89;83;88;49;74;61;60;1;1
182521;T. Kroos;29;183;76;Germany;Real Madrid;88;57;330;Right;Yes;CM;8;45;80;90;81;70;69;58;84;89;50;41;1;1
188350;M. Reus;30;180;71;Germany;Borussia Dortmund;88;56;170;Right;Yes;CM;11;85;88;84;87;45;66;49;86;88;85;85;1;1
188567;P. Aubameyang;30;187;80;Gabon;Arsenal;88;57;205;Right;Yes;ST;14;94;85;75;80;37;69;78;74;82;93;95;1;1
208722;S. Mané;27;175;69;Senegal;Liverpool;88;62;220;Right;Yes;LM;10;94;83;77;89;44;74;81;64;87;95;93;1;1
212218;A. Laporte;25;189;85;France;Manchester City;87;56.5;195;Left;Yes;CB;14;64;50;71;68;88;82;86;69;77;61;66;1;0
218667;Bernardo Silva;24;173;64;Portugal;Manchester City;87;64;210;Left;Yes;RM;20;81;76;83;92;51;67;51;67;92;85;78;1;0
200145;Casemiro;27;185;84;Brazil;Real Madrid;87;53.5;240;Right;Yes;CM;14;62;72;75;72;85;89;76;74;78;58;66;1;1
200104;H. Son;26;183;78;Korea Republic;Tottenham Hotspur;87;60;185;Right;Yes;ST;7;88;86;80;87;42;68;65;70;87;86;89;1;1
135507;Fernandinho;34;179;67;Brazil;Manchester City;87;19.5;200;Right;Yes;CM;25;66;74;79;78;84;79;66;72;82;68;64;1;1
164240;Thiago Silva;34;183;82;Brazil;Paris Saint-Germain;87;18.5;135;Right;Yes;CB;2;62;54;72;72;87;78;81;61;80;60;64;1;1
165153;K. Benzema;31;185;81;France;Real Madrid;87;45;285;Right;Yes;ST;9;76;82;80;86;39;77;83;73;90;78;74;1;1
172871;J. Vertonghen;32;189;86;Belgium;Tottenham Hotspur;87;32.5;155;Left;Yes;CB;5;63;63;74;72;87;79;80;70;77;60;65;1;0
175943;D. Mertens;32;169;61;Belgium;Napoli;87;40;135;Right;Yes;ST;14;88;83;80;91;35;53;40;79;89;93;83;1;1
178603;M. Hummels;30;191;94;Germany;Borussia Dortmund;87;41;130;Right;Yes;CB;15;51;58;76;72;89;76;87;53;81;46;55;1;1
184087;T. Alderweireld;30;186;81;Belgium;Tottenham Hotspur;87;41;155;Right;Yes;CB;4;64;55;72;66;88;79;82;69;75;61;66;1;1
189332;Jordi Alba;30;170;68;Spain;FC Barcelona;87;40;240;Left;Yes;LB;18;90;69;81;83;79;73;70;63;85;91;90;1;0
189509;Thiago;28;174;70;Spain;FC Bayern München;87;50;180;Right;Yes;CM;6;69;74;85;90;69;63;54;77;91;76;64;1;1
193041;K. Navas;32;185;80;Costa Rica;Real Madrid;87;30.5;195;Right;Yes;GK;1;;;;;;;11;15;19;54;53;1;1
198219;L. Insigne;28;163;59;Italy;Napoli;87;52;140;Right;Yes;ST;24;89;79;85;91;35;47;59;77;93;94;85;1;1
222492;L. Sané;23;183;75;Germany;Manchester City;86;61;195;Left;Yes;LM;19;95;81;79;86;38;70;72;82;85;93;96;1;0
207865;Marquinhos;25;183;75;Brazil;Paris Saint-Germain;86;51.5;120;Right;Yes;CB;5;74;41;73;70;86;77;84;32;79;72;76;1;1
232363;M. Škriniar;24;187;80;Slovakia;Inter;86;52;89;Right;No;CB;37;69;41;59;66;87;82;82;30;69;70;69;0;1
199556;M. Verratti;26;165;60;Italy;Paris Saint-Germain;86;54.5;140;Right;Yes;CM;6;65;60;84;90;79;66;55;64;89;69;61;1;1
205600;S. Umtiti;25;182;75;France;FC Barcelona;86;50;210;Left;Yes;CB;23;69;63;69;69;86;82;79;62;77;66;72;1;0
186153;W. Szczęsny;29;195;90;Poland;Juventus;86;37.5;135;Right;Yes;GK;1;;;;;;;16;14;22;51;47;1;1
212622;J. Kimmich;24;176;73;Germany;FC Bayern München;86;48;125;Right;Yes;RB;32;72;69;86;84;79;78;74;61;85;77;68;1;1
197781;Isco;27;176;79;Spain;Real Madrid;86;51;245;Right;Yes;CM;22;71;77;83;91;59;60;55;76;93;74;68;1;1
201942;Roberto Firmino;27;181;76;Brazil;Liverpool;86;52;170;Right;Yes;ST;9;77;82;80;87;61;78;78;65;88;78;77;1;1
168651;I. Rakitić;31;184;78;Croatia;FC Barcelona;86;38;245;Right;Yes;CM;4;62;81;86;81;74;70;59;82;87;64;61;1;1
180206;M. Pjanić;29;178;72;Bosnia Herzegovina;Juventus;86;42.5;180;Right;Yes;CM;5;68;68;87;85;75;67;60;92;89;69;67;1;1
183898;A. Di María;31;180;69;Argentina;Paris Saint-Germain;86;39;150;Left;Yes;RM;11;84;79;84;87;48;68;51;88;86;85;84;1;0
184344;L. Bonucci;32;190;85;Italy;Juventus;86;28.5;160;Right;Yes;CB;19;58;58;69;70;87;79;84;61;75;55;60;1;1
189242;Coutinho;27;172;68;Brazil;FC Bayern München;86;46.5;175;Right;Yes;LM;10;79;80;84;90;52;64;48;86;91;84;75;1;1
189513;Parejo;30;182;74;Spain;Valencia CF;86;41;69;Right;Yes;CM;10;41;80;88;79;70;69;61;90;85;49;35;1;1
189596;T. Müller;29;186;75;Germany;FC Bayern München;86;43.5;170;Right;Yes;CM;25;72;83;79;78;55;71;81;59;82;69;75;1;1
192387;C. Immobile;29;185;85;Italy;Lazio;86;44.5;105;Right;Yes;ST;17;80;85;63;81;39;76;81;51;83;76;83;1;1
193301;A. Lacazette;28;175;73;France;Arsenal;86;46;165;Right;Yes;ST;9;82;85;75;86;40;74;74;74;86;82;82;1;1
235243;M. de Ligt;19;189;89;Netherlands;Juventus;85;50;76;Right;Yes;CB;4;67;58;66;68;83;84;85;55;74;61;72;1;1
230621;G. Donnarumma;20;196;90;Italy;Milan;85;41.5;34;Right;Yes;GK;99;;;;;;;12;14;28;46;54;1;1
228702;F. de Jong;22;180;74;Netherlands;FC Barcelona;85;52;195;Right;No;CM;21;79;64;84;87;76;76;66;64;89;80;78;0;1
201535;R. Varane;26;191;81;France;Real Madrid;85;45;205;Right;Yes;CB;5;83;45;62;63;85;80;83;52;77;79;86;1;1
212190;N. Süle;23;195;97;Germany;FC Bayern München;85;46.5;115;Right;Yes;CB;4;72;42;55;50;86;82;86;30;63;53;87;1;1
223848;S. Milinković-Savić;24;191;76;Serbia;Lazio;85;50.5;73;Right;Yes;CM;21;67;79;80;83;77;84;86;75;87;66;67;1;1
231866;Rodri;23;191;82;Spain;Manchester City;85;47;150;Right;Yes;CM;16;67;68;77;77;82;80;75;54;82;68;66;1;1
208421;Saúl;24;184;77;Spain;Atlético Madrid;85;49.5;77;Left;Yes;CM;8;70;78;79;81;78;78;83;60;85;71;70;1;0
209499;Fabinho;25;188;78;Brazil;Liverpool;85;45;125;Right;Yes;CM;3;68;69;78;77;85;83;75;53;82;67;69;1;1
216267;A. Robertson;25;178;64;Scotland;Liverpool;85;43.5;125;Left;Yes;LB;26;85;62;77;79;80;75;63;30;81;83;86;1;0
216460;J. Giménez;24;185;80;Uruguay;Atlético Madrid;85;45;69;Right;Yes;CB;2;69;45;52;54;86;82;81;44;60;67;70;1;1
220440;C. Lenglet;24;186;81;France;FC Barcelona;85;45;175;Left;Yes;CB;15;75;45;68;65;86;80;82;31;76;77;74;1;0
212198;Bruno Fernandes;24;179;69;Portugal;Sporting CP;85;49;24;Right;No;CM;8;77;83;87;85;65;74;58;87;87;79;76;0;1
199482;A. Lopes;28;184;81;Portugal;Olympique Lyonnais;85;33.5;88;Left;Yes;GK;1;;;;;;;16;14;21;63;64;1;0
185122;P. Gulácsi;29;192;86;Hungary;RB Leipzig;85;31;69;Right;Yes;GK;1;;;;;;;23;11;25;42;44;1;1
189117;R. Bürki;28;187;85;Switzerland;Borussia Dortmund;85;32;92;Right;Yes;GK;1;;;;;;;17;12;23;44;54;1;1
192505;R. Lukaku;26;190;94;Belgium;Inter;85;46;115;Left;Yes;ST;9;75;82;73;72;35;84;85;66;70;64;84;1;0
192774;K. Manolas;28;189;83;Greece;Napoli;85;37.5;105;Right;No;CB;44;82;25;42;60;86;81;80;10;65;81;83;0;1
194404;Neto;29;190;84;Brazil;FC Barcelona;85;31;175;Right;Yes;GK;13;;;;;;;14;13;24;56;52;1;1
197445;D. Alaba;27;180;78;Austria;FC Bayern München;85;38;135;Left;Yes;LB;27;83;73;81;80;80;76;74;85;82;79;86;1;0
201399;M. Icardi;26;181;75;Argentina;Inter;85;46;115;Right;Yes;ST;36;75;84;61;77;36;69;88;45;80;76;75;1;1
204963;Carvajal;27;173;73;Spain;Real Madrid;85;38;205;Right;Yes;RB;2;81;47;78;81;82;80;70;47;84;79;83;1;1
208670;H. Ziyech;26;181;65;Morocco;Ajax;85;45;39;Left;Yes;CM;22;80;75;86;83;50;66;53;78;83;83;77;1;0
41236;Z. Ibrahimović;37;195;95;Sweden;LA Galaxy;85;14;15;Right;Yes;ST;9;56;88;77;77;34;78;83;78;84;57;55;1;1
143076;A. Gómez;31;165;68;Argentina;Atalanta;85;34;92;Right;No;CM;10;89;78;81;86;39;55;38;79;85;94;85;0;1
167664;G. Higuaín;31;186;89;Argentina;Juventus;85;34.5;175;Right;Yes;ST;21;63;85;71;80;31;71;77;62;84;62;64;1;1
170890;B. Matuidi;32;180;75;France;Juventus;85;25;145;Left;Yes;CM;14;75;66;76;78;83;81;68;52;79;77;73;1;0
173731;G. Bale;29;185;82;Wales;Real Madrid;85;37.5;250;Left;Yes;RM;11;91;87;82;82;58;76;84;87;84;90;91;1;0
176676;Marcelo;31;174;75;Brazil;Real Madrid;85;28;205;Left;Yes;LB;12;81;74;83;89;77;79;75;67;92;82;80;1;0
177413;A. Witsel;30;186;81;Belgium;Borussia Dortmund;85;31.5;110;Right;Yes;CM;28;73;74;80;79;83;81;81;68;84;67;77;1;1
191043;Alex Sandro;28;180;80;Brazil;Juventus;85;33;155;Left;Yes;LB;12;83;65;77;80;82;82;76;59;81;81;85;1;0
192629;Iago Aspas;31;176;67;Spain;RC Celta;85;34.5;49;Left;Yes;ST;10;78;84;77;85;35;64;78;76;85;80;76;1;0
193747;Koke;27;176;74;Spain;Atlético Madrid;85;40.5;88;Right;Yes;RM;6;68;75;86;82;74;79;61;76;85;70;67;1;1
198710;J. Rodríguez;27;180;75;Colombia;Real Madrid;85;40.5;225;Left;Yes;CM;16;55;86;87;86;50;63;62;86;90;57;54;1;0
199914;Allan;28;175;74;Brazil;Napoli;85;38;110;Right;No;CM;5;75;71;78;84;85;84;59;49;84;79;71;0;1
233049;J. Sancho;19;180;76;England;Borussia Dortmund;84;44.5;61;Right;Yes;RM;7;88;72;77;90;36;60;37;48;88;89;87;1;1
235790;K. Havertz;20;188;83;Germany;Bayer 04 Leverkusen;84;46;70;Left;Yes;CM;29;84;78;79;84;44;65;74;53;87;77;89;1;0
231443;O. Dembélé;22;178;67;France;FC Barcelona;84;42.5;195;Left;Yes;RM;11;93;79;80;87;36;57;43;64;85;94;93;1;0
206585;Kepa;24;186;85;Spain;Chelsea;84;31;92;Right;Yes;GK;1;;;;;;;18;19;16;34;33;1;1
210514;João Cancelo;25;182;74;Portugal;Manchester City;84;36.5;150;Right;Yes;RB;27;90;65;80;84;78;71;68;69;84;89;90;1;1
211117;D. Alli;23;188;80;England;Tottenham Hotspur;84;41.5;115;Right;Yes;CM;20;72;81;79;82;71;79;83;68;86;68;76;1;1
220814;L. Hernández;23;182;76;France;FC Bayern München;84;37.5;110;Left;Yes;CB;21;81;54;70;71;83;82;82;39;79;79;83;1;0
230658;Arthur;22;171;73;Brazil;FC Barcelona;84;41;180;Right;No;CM;8;69;71;81;86;73;70;58;60;88;71;67;0;1
202556;M. Depay;25;176;78;Netherlands;Olympique Lyonnais;84;40.5;110;Right;Yes;ST;11;87;80;81;84;32;78;65;88;85;87;87;1;1
209658;L. Goretzka;24;189;79;Germany;FC Bayern München;84;40;120;Right;Yes;CM;18;81;77;80;81;75;79;80;75;84;84;78;1;1
212194;J. Brandt;23;185;83;Germany;Borussia Dortmund;84;40.5;94;Right;Yes;CM;19;82;78;81;85;40;68;53;59;86;78;86;1;1
213345;K. Coman;23;179;75;France;FC Bayern München;84;40.5;120;Right;Yes;LM;29;92;76;77;87;29;60;52;70;87;94;91;1;1
206113;S. Gnabry;23;175;75;Germany;FC Bayern München;84;39.5;120;Right;Yes;RM;22;90;82;75;86;43;69;44;62;83;92;89;1;1
216594;N. Fekir;25;173;75;France;Real Betis;84;39;40;Left;Yes;CM;8;78;82;81;88;33;77;49;80;89;79;77;1;0
192563;B. Leno;27;190;83;Germany;Arsenal;84;26;91;Right;Yes;GK;1;;;;;;;13;8;30;55;56;1;1
198706;Luis Alberto;26;183;74;Spain;Lazio;84;37.5;78;Right;Yes;CM;10;71;76;84;85;49;59;49;81;88;75;68;1;1
212462;Alex Telles;26;181;71;Brazil;FC Porto;84;33;23;Left;Yes;LB;13;85;72;84;81;80;76;74;79;83;84;85;1;0
236583;J. Pavlenka;27;196;81;Czech Republic;SV Werder Bremen;84;26;37;Right;Yes;GK;1;;;;;;;14;14;19;35;37;1;1
198176;S. de Vrij;27;189;78;Netherlands;Inter;84;31.5;88;Right;Yes;CB;6;66;41;62;68;86;74;80;16;71;65;66;1;1
201995;Felipe Anderson;26;175;70;Brazil;West Ham United;84;36.5;125;Right;Yes;LM;8;89;77;79;89;55;61;44;69;88;89;89;1;1
120533;Pepe;36;188;81;Portugal;FC Porto;84;6.5;16;Right;Yes;CB;3;67;51;57;60;85;85;82;47;62;64;70;1;1
162347;João Moutinho;32;170;61;Portugal;Wolverhampton Wanderers;84;23.5;125;Right;Yes;CM;28;56;75;85;82;71;67;70;81;85;60;53;1;1
167628;S. Ruffier;32;188;93;France;AS Saint-Étienne;84;19;41;Right;No;GK;16;;;;;;;12;12;15;45;50;0;1
168435;S. Sirigu;32;192;80;Italy;Torino;84;19;54;Right;Yes;GK;39;;;;;;;11;11;18;50;51;1;1
171877;M. Hamšík;31;183;73;Slovakia;Dalian YiFang FC;84;26.5;26;Right;Yes;CM;17;69;77;83;83;72;69;74;70;85;70;68;1;1
172879;Sokratis;31;186;85;Greece;Arsenal;84;23;115;Right;Yes;CB;5;72;51;52;60;84;83;85;35;60;66;76;1;1
176266;Lucas Leiva;32;179;78;Brazil;Lazio;84;20.5;71;Right;Yes;CM;6;62;66;76;78;83;73;72;47;79;64;61;1;1
176635;M. Özil;30;180;76;Germany;Arsenal;84;29.5;125;Left;Yes;CM;10;70;72;86;84;24;56;51;76;89;72;69;1;0
177610;Javi Martínez;30;192;86;Spain;FC Bayern München;84;25.5;125;Right;Yes;CM;8;48;55;69;63;86;83;87;45;71;45;50;1;1
177683;Y. Sommer;30;183;79;Switzerland;Borussia Mönchengladbach;84;21;37;Right;Yes;GK;1;;;;;;;10;13;25;48;54;1;1
180930;E. Džeko;33;193;80;Bosnia Herzegovina;Roma;84;19.5;75;Right;Yes;ST;9;60;84;71;75;46;73;83;54;85;61;60;1;1
181291;G. Wijnaldum;28;175;69;Netherlands;Liverpool;84;31;140;Right;Yes;CM;5;77;73;78;84;76;78;74;67;85;79;76;1;1
181458;I. Perišić;30;186;80;Croatia;FC Bayern München;84;29.5;135;Right;Yes;LM;14;84;80;78;82;62;77;80;75;85;83;85;1;1
181783;M. Mandžukić;33;190;85;Croatia;Juventus;84;19.5;160;Right;Yes;ST;17;68;80;71;75;65;86;90;49;79;61;73;1;1
181872;A. Vidal;32;180;75;Chile;FC Barcelona;84;23.5;205;Right;Yes;CM;22;67;79;80;78;85;86;82;68;83;68;67;1;1
183907;J. Boateng;30;192;90;Germany;FC Bayern München;84;25;125;Right;Yes;CB;17;66;50;72;65;84;82;85;31;70;64;67;1;1
184432;Azpilicueta;29;178;76;Spain;Chelsea;84;25.5;145;Right;Yes;RB;28;70;55;77;73;85;76;75;58;77;73;68;1;1
185020;José Callejón;32;178;73;Spain;Napoli;84;24;96;Right;Yes;RM;7;89;78;75;83;47;64;65;65;85;88;90;1;1
186942;I. Gündoğan;28;180;80;Germany;Manchester City;84;31;180;Right;Yes;CM;8;66;74;84;84;72;71;50;74;88;67;66;1;1
187961;Paulinho;30;183;80;Brazil;Guangzhou Evergrande Taobao FC;84;29;43;Right;Yes;CM;8;72;81;77;80;78;85;85;72;84;74;71;1;1
188377;K. Walker;29;183;70;England;Manchester City;84;25.5;165;Right;Yes;RB;2;91;63;76;77;81;81;74;71;78;87;94;1;1
190286;Canales;28;176;65;Spain;Real Betis;84;31.5;44;Left;Yes;CM;10;78;79;83;81;51;66;46;79;83;77;78;1;0
190483;Douglas Costa;28;172;70;Brazil;Juventus;84;31.5;155;Left;Yes;LM;11;94;73;79;91;43;61;50;78;91;95;93;1;0
197965;Pizzi;29;177;72;Portugal;SL Benfica;84;30.5;26;Right;No;RM;21;77;77;84;81;63;68;45;76;83;82;73;0;1
199434;D. Tadić;30;181;76;Serbia;Ajax;84;29.5;36;Left;Yes;CM;10;68;80;84;85;41;71;66;76;88;68;68;1;0
200647;J. Iličić;31;190;79;Slovenia;Atalanta;84;28;92;Left;No;ST;72;70;84;84;85;43;67;58;85;88;72;69;0;0
204485;R. Mahrez;28;179;67;Algeria;Manchester City;84;31.5;195;Left;Yes;RM;26;84;78;79;89;38;59;48;78;90;87;82;1;0
205678;E. Višća;29;172;63;Bosnia Herzegovina;Medipol Başakşehir FK;84;30.5;67;Right;No;RM;7;88;79;79;83;47;64;45;60;84;90;87;0;1
207863;Felipe;30;190;83;Brazil;Atlético Madrid;84;25;74;Right;No;CB;18;64;41;57;60;84;87;81;30;64;60;67;0;1
226271;Fabián;23;189;70;Spain;Napoli;83;36;76;Left;Yes;CM;8;65;78;78;83;74;69;67;59;85;68;63;1;0
210413;A. Romagnoli;24;188;78;Italy;Milan;83;32;46;Left;No;CB;13;63;40;55;66;85;79;77;24;70;60;66;0;0
226226;G. Lo Celso;23;177;68;Argentina;Tottenham Hotspur;83;35;105;Left;Yes;CM;18;77;78;82;85;65;72;57;71;86;76;78;1;0
231281;T. Alexander-Arnold;20;180;69;England;Liverpool;83;32;78;Right;Yes;RB;66;80;62;82;78;78;70;68;80;82;79;81;1;1
232432;L. Jović;21;182;85;Serbia;Real Madrid;83;36.5;155;Right;Yes;ST;18;77;82;68;81;29;74;79;46;83;76;77;1;1
205175;A. Milik;25;186;78;Poland;Napoli;83;35;91;Left;Yes;ST;99;69;85;64;76;39;74;80;84;81;67;71;1;0
211300;A. Martial;23;184;76;France;Manchester United;83;34.5;140;Right;Yes;LM;9;89;81;72;86;41;71;69;54;86;88;89;1;1
212523;Anderson Talisca;25;190;80;Brazil;Guangzhou Evergrande Taobao FC;83;34.5;38;Left;No;CM;9;77;82;80;81;57;72;77;87;84;78;76;0;0
213331;J. Tah;23;195;97;Germany;Bayer 04 Leverkusen;83;31;67;Right;Yes;CB;4;71;27;59;57;83;81;80;27;64;64;77;1;1
219683;C. Tolisso;24;181;81;France;FC Bayern München;83;34;110;Right;Yes;CM;24;69;77;79;78;76;79;82;73;82;73;66;1;1
221087;Pau López;24;189;77;Spain;Roma;83;26;38;Left;Yes;GK;12;;;;;;;15;21;16;45;52;1;0
224411;Gonçalo Guedes;22;179;68;Portugal;Valencia CF;83;34.5;46;Right;Yes;LM;7;90;79;76;84;36;70;60;70;81;91;90;1;1
226110;N. Pépé;24;183;73;Ivory Coast;Arsenal;83;34.5;97;Left;No;RM;19;91;81;75;85;33;67;57;72;82;90;91;0;0
229237;M. Akanji;23;187;91;Switzerland;Borussia Dortmund;83;31;77;Right;No;CB;16;78;45;68;72;83;80;79;30;76;70;85;0;1
231677;M. Rashford;21;186;70;England;Manchester United;83;35.5;125;Right;Yes;ST;10;92;82;73;84;45;77;72;76;83;89;94;1;1
203574;J. Stones;25;188;70;England;Manchester City;83;30;140;Right;Yes;CB;5;68;36;70;72;84;77;83;29;80;65;71;1;1
210008;A. Rabiot;24;192;80;France;Juventus;83;33;120;Left;Yes;CM;25;73;74;79;80;77;80;77;59;84;71;74;1;0
210035;Grimaldo;23;171;69;Spain;SL Benfica;83;29.5;18;Left;No;LB;3;85;63;79;84;77;71;65;81;83;86;84;0;0
212188;T. Werner;23;180;75;Germany;RB Leipzig;83;34.5;70;Right;Yes;ST;11;92;81;67;83;35;69;77;56;84;93;92;1;1
213565;T. Lemar;23;171;62;France;Atlético Madrid;83;34;64;Left;Yes;LM;11;83;76;82;85;59;67;54;81;86;83;83;1;0
220793;D. Sánchez;23;187;79;Colombia;Tottenham Hotspur;83;30.5;93;Right;Yes;CB;6;74;45;57;66;83;81;80;27;73;68;79;1;1
220834;Marco Asensio;23;182;76;Spain;Real Madrid;83;34;180;Left;Yes;LM;20;81;80;82;84;43;62;57;76;87;83;80;1;0
200458;L. Digne;25;178;74;France;Everton;83;28.5;97;Left;Yes;LB;12;78;69;79;79;80;76;71;83;83;79;78;1;0
202166;J. Draxler;25;187;77;Germany;Paris Saint-Germain;83;32.5;100;Right;Yes;CM;23;77;79;81;86;55;63;65;76;88;78;77;1;1
204935;J. Pickford;25;185;77;England;Everton;83;24;78;Left;Yes;GK;1;;;;;;;15;16;40;53;44;1;0
208418;Y. Carrasco;25;180;71;Belgium;Dalian YiFang FC;83;32.5;23;Right;Yes;LM;10;90;80;75;87;39;64;53;79;87;91;90;1;1
224179;Borja Iglesias;26;187;86;Spain;Real Betis;83;32.5;41;Right;No;ST;9;67;83;63;76;35;82;82;36;80;65;69;0;1
192984;K. Casteels;27;197;86;Belgium;VfL Wolfsburg;83;22;50;Left;Yes;GK;1;;;;;;;14;13;23;44;46;1;0
198717;W. Zaha;26;180;66;Ivory Coast;Crystal Palace;83;32;89;Right;Yes;ST;11;91;76;72;88;27;74;47;51;87;88;93;1;1
200454;Paco Alcácer;25;175;72;Spain;Borussia Dortmund;83;32;105;Right;Yes;ST;9;79;84;68;80;36;63;78;85;82;81;78;1;1
201153;Morata;26;189;84;Spain;Atlético Madrid;83;32;80;Right;Yes;ST;9;81;79;71;80;31;72;86;44;82;75;85;1;1
205693;S. Haller;25;190;82;France;West Ham United;83;32;120;Right;Yes;ST;22;72;81;62;76;51;82;86;46;80;68;76;1;1
207566;William Carvalho;27;187;83;Portugal;Real Betis;83;27.5;35;Right;Yes;CM;14;42;57;77;74;79;85;74;50;81;37;46;1;1
212404;F. Bernardeschi;25;185;77;Italy;Juventus;83;31.5;130;Left;Yes;RM;33;81;75;81;87;60;66;54;80;88;82;81;1;0
